n,semilla,seleccion,maximo,acierto
100,0,50,100,NO
100,1,18,100,NO
100,2,8,100,NO
100,3,31,100,NO
100,4,100,100,SI
100,5,100,100,SI
100,6,74,100,NO
100,7,42,100,NO
100,8,100,100,SI
100,9,99,100,NO
100,10,99,100,NO
100,11,100,100,SI
100,12,99,100,NO
100,13,100,100,SI
100,14,100,100,SI
100,15,99,100,NO
100,16,100,100,SI
100,17,67,100,NO
100,18,98,100,NO
100,19,100,100,SI
100,20,93,100,NO
100,21,98,100,NO
100,22,100,100,SI
100,23,99,100,NO
100,24,100,100,SI
100,25,49,100,NO
100,26,96,100,NO
100,27,84,100,NO
100,28,15,100,NO
100,29,99,100,NO
100,30,100,100,SI
100,31,2,100,NO
100,32,10,100,NO
100,33,74,100,NO
100,34,99,100,NO
100,35,71,100,NO
100,36,43,100,NO
100,37,88,100,NO
100,38,82,100,NO
100,39,27,100,NO
100,40,100,100,SI
100,41,49,100,NO
100,42,100,100,SI
100,43,100,100,SI
100,44,53,100,NO
100,45,100,100,SI
100,46,100,100,SI
100,47,99,100,NO
100,48,71,100,NO
100,49,100,100,SI
100,50,64,100,NO
100,51,100,100,SI
100,52,100,100,SI
100,53,79,100,NO
100,54,18,100,NO
100,55,100,100,SI
100,56,100,100,SI
100,57,6,100,NO
100,58,100,100,SI
100,59,100,100,SI
100,60,100,100,SI
100,61,64,100,NO
100,62,74,100,NO
100,63,100,100,SI
100,64,61,100,NO
100,65,54,100,NO
100,66,10,100,NO
100,67,10,100,NO
100,68,95,100,NO
100,69,88,100,NO
100,70,100,100,SI
100,71,97,100,NO
100,72,100,100,SI
100,73,36,100,NO
100,74,79,100,NO
100,75,100,100,SI
100,76,48,100,NO
100,77,33,100,NO
100,78,99,100,NO
100,79,19,100,NO
100,80,100,100,SI
100,81,65,100,NO
100,82,100,100,SI
100,83,64,100,NO
100,84,94,100,NO
100,85,26,100,NO
100,86,100,100,SI
100,87,100,100,SI
100,88,99,100,NO
100,89,98,100,NO
100,90,27,100,NO
100,91,11,100,NO
100,92,54,100,NO
100,93,64,100,NO
100,94,70,100,NO
100,95,100,100,SI
100,96,100,100,SI
100,97,100,100,SI
100,98,100,100,SI
100,99,100,100,SI
500,0,433,500,NO
500,1,69,500,NO
500,2,498,500,NO
500,3,500,500,SI
500,4,121,500,NO
500,5,319,500,NO
500,6,407,500,NO
500,7,166,500,NO
500,8,117,500,NO
500,9,500,500,SI
500,10,293,500,NO
500,11,500,500,SI
500,12,243,500,NO
500,13,497,500,NO
500,14,500,500,SI
500,15,495,500,NO
500,16,500,500,SI
500,17,500,500,SI
500,18,500,500,SI
500,19,500,500,SI
500,20,500,500,SI
500,21,85,500,NO
500,22,500,500,SI
500,23,500,500,SI
500,24,500,500,SI
500,25,194,500,NO
500,26,492,500,NO
500,27,500,500,SI
500,28,500,500,SI
500,29,500,500,SI
500,30,277,500,NO
500,31,7,500,NO
500,32,500,500,SI
500,33,293,500,NO
500,34,271,500,NO
500,35,500,500,SI
500,36,169,500,NO
500,37,500,500,SI
500,38,328,500,NO
500,39,108,500,NO
500,40,235,500,NO
500,41,196,500,NO
500,42,499,500,NO
500,43,499,500,NO
500,44,210,500,NO
500,45,500,500,SI
500,46,500,500,SI
500,47,497,500,NO
500,48,500,500,SI
500,49,35,500,NO
500,50,500,500,SI
500,51,125,500,NO
500,52,500,500,SI
500,53,500,500,SI
500,54,500,500,SI
500,55,500,500,SI
500,56,500,500,SI
500,57,500,500,SI
500,58,500,500,SI
500,59,115,500,NO
500,60,500,500,SI
500,61,499,500,NO
500,62,476,500,NO
500,63,499,500,NO
500,64,499,500,NO
500,65,213,500,NO
500,66,500,500,SI
500,67,497,500,NO
500,68,500,500,SI
500,69,351,500,NO
500,70,466,500,NO
500,71,500,500,SI
500,72,500,500,SI
500,73,498,500,NO
500,74,499,500,NO
500,75,500,500,SI
500,76,500,500,SI
500,77,500,500,SI
500,78,500,500,SI
500,79,75,500,NO
500,80,140,500,NO
500,81,500,500,SI
500,82,75,500,NO
500,83,500,500,SI
500,84,500,500,SI
500,85,103,500,NO
500,86,406,500,NO
500,87,500,500,SI
500,88,204,500,NO
500,89,42,500,NO
500,90,500,500,SI
500,91,500,500,SI
500,92,500,500,SI
500,93,468,500,NO
500,94,500,500,SI
500,95,390,500,NO
500,96,190,500,NO
500,97,500,500,SI
500,98,183,500,NO
500,99,497,500,NO
1000,0,865,1000,NO
1000,1,138,1000,NO
1000,2,979,1000,NO
1000,3,999,1000,NO
1000,4,242,1000,NO
1000,5,638,1000,NO
1000,6,1000,1000,SI
1000,7,332,1000,NO
1000,8,233,1000,NO
1000,9,995,1000,NO
1000,10,998,1000,NO
1000,11,1000,1000,SI
1000,12,486,1000,NO
1000,13,1000,1000,SI
1000,14,1000,1000,SI
1000,15,1000,1000,SI
1000,16,999,1000,NO
1000,17,535,1000,NO
1000,18,1000,1000,SI
1000,19,999,1000,NO
1000,20,1000,1000,SI
1000,21,169,1000,NO
1000,22,996,1000,NO
1000,23,948,1000,NO
1000,24,730,1000,NO
1000,25,387,1000,NO
1000,26,1000,1000,SI
1000,27,665,1000,NO
1000,28,116,1000,NO
1000,29,999,1000,NO
1000,30,553,1000,NO
1000,31,13,1000,NO
1000,32,1000,1000,SI
1000,33,585,1000,NO
1000,34,542,1000,NO
1000,35,1000,1000,SI
1000,36,1000,1000,SI
1000,37,699,1000,NO
1000,38,655,1000,NO
1000,39,215,1000,NO
1000,40,1000,1000,SI
1000,41,391,1000,NO
1000,42,998,1000,NO
1000,43,40,1000,NO
1000,44,419,1000,NO
1000,45,1000,1000,SI
1000,46,910,1000,NO
1000,47,1000,1000,SI
1000,48,1000,1000,SI
1000,49,69,1000,NO
1000,50,1000,1000,SI
1000,51,250,1000,NO
1000,52,1000,1000,SI
1000,53,1000,1000,SI
1000,54,936,1000,NO
1000,55,1000,1000,SI
1000,56,990,1000,NO
1000,57,995,1000,NO
1000,58,1000,1000,SI
1000,59,1000,1000,SI
1000,60,999,1000,NO
1000,61,999,1000,NO
1000,62,951,1000,NO
1000,63,994,1000,NO
1000,64,1000,1000,SI
1000,65,1000,1000,SI
1000,66,1000,1000,SI
1000,67,999,1000,NO
1000,68,760,1000,NO
1000,69,1000,1000,SI
1000,70,932,1000,NO
1000,71,332,1000,NO
1000,72,1000,1000,SI
1000,73,287,1000,NO
1000,74,1000,1000,SI
1000,75,462,1000,NO
1000,76,999,1000,NO
1000,77,819,1000,NO
1000,78,835,1000,NO
